["port 1",""]
["port 2",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(300, 3)
1.8709118714735391e+14 2.5623780118783882e-03 4.1648641416031911e+00
1.8721757164666534e+14 2.7503032664673447e-03 4.3329402210266643e+00
1.8734395614597678e+14 2.9953568443686681e-03 4.5017564968352417e+00
1.8747034064528822e+14 3.3024892334881225e-03 4.6678678299250258e+00
1.8759672514459962e+14 3.6749993792823846e-03 4.8288410178871359e+00
1.8772310964391106e+14 4.1146946954577482e-03 4.9833397527154730e+00
1.8784949414322250e+14 4.6221942313661541e-03 5.1309460923769539e+00
1.8797587864253394e+14 5.1972300130545216e-03 5.2718746613637579e+00
1.8810226314184538e+14 5.8388726224387778e-03 5.4067007031122731e+00
1.8822864764115678e+14 6.5456680850713806e-03 5.5361563519561816e+00
1.8835503214046822e+14 7.3157035488485324e-03 5.6610008436008226e+00
1.8848141663977966e+14 8.1466262108586991e-03 5.7819489570611777e+00
1.8860780113909109e+14 9.0356360795538181e-03 5.8996382584496310e+00
1.8873418563840250e+14 9.9794667263551212e-03 6.0146193360056941e+00
1.8886057013771394e+14 1.0974362682735416e-02 6.1273582561532089e+00
1.8898695463702538e+14 1.2016058374878400e-02 6.2382446495615369e+00
1.8911333913633681e+14 1.3099761217689188e-02 6.3476017105940183e+00
1.8923972363564822e+14 1.4220140251496554e-02 6.4556961788241436e+00
1.8936610813495966e+14 1.5371321103210484e-02 6.5627474058801445e+00
1.8949249263427109e+14 1.6546887815506235e-02 6.6689351762155598e+00
1.8961887713358253e+14 1.7739892042000140e-02 6.7744062400793057e+00
1.8974526163289394e+14 1.8942870150757754e-02 6.8792796519968649e+00
1.8987164613220538e+14 2.0147868852287032e-02 6.9836510602468218e+00
1.8999803063151681e+14 2.1346480034975513e-02 7.0875961028121397e+00
1.9012441513082825e+14 2.2529885526796883e-02 7.1911730555465327e+00
1.9025079963013969e+14 2.3688912490617119e-02 7.2944248606584079e+00
1.9037718412945109e+14 2.4814100088301351e-02 7.3973806441080860e+00
1.9050356862876253e+14 2.5895777906289382e-02 7.5000568118601034e+00
1.9062995312807397e+14 2.6924156414564856e-02 7.6024577982252506e+00
1.9075633762738541e+14 2.7889429428519904e-02 7.7045765249336711e+00
1.9088272212669681e+14 2.8781888159697136e-02 7.8063946168463341e+00
1.9100910662600825e+14 2.9592045984272859e-02 7.9078824088828901e+00
1.9113549112531969e+14 3.0310772542114756e-02 8.0089987682804136e+00
1.9126187562463112e+14 3.0929435227773267e-02 8.1096907461345360e+00
1.9138826012394256e+14 3.1440045580122984e-02 8.2098930617169508e+00
1.9151464462325397e+14 3.1835407560742733e-02 8.3095274117408930e+00
1.9164102912256541e+14 3.2109264279114730e-02 8.4085015838963137e+00
1.9176741362187684e+14 3.2256439427653931e-02 8.5067083389569085e+00
1.9189379812118828e+14 3.2272969581543992e-02 8.6040240077655845e+00
1.9202018262049969e+14 3.2156223644834760e-02 8.7003067275377362e+00
1.9214656711981112e+14 3.1905006122357339e-02 8.7953942150675211e+00
1.9227295161912256e+14 3.1519641592448716e-02 8.8891009412343767e+00
1.9239933611843400e+14 3.1002038759160345e-02 8.9812145300749666e+00
1.9252572061774541e+14 3.0355733772738810e-02 9.0714911548125361e+00
1.9265210511705684e+14 2.9585914112495768e-02 9.1596496409685386e+00
1.9277848961636828e+14 2.8699426213392148e-02 9.2453639122816167e+00
1.9290487411567972e+14 2.7704772179138925e-02 9.3282533307623208e+00
1.9303125861499112e+14 2.6612103365435104e-02 9.4078703968504431e+00
1.9315764311430256e+14 2.5433221350216403e-02 9.4836852138805341e+00
1.9328402761361400e+14 2.4181599824648185e-02 9.5550661402098171e+00
1.9341041211292544e+14 2.2872444114513713e-02 9.6212562765293956e+00
1.9353679661223688e+14 2.1522807903862892e-02 9.6813461200054789e+00
1.9366318111154828e+14 2.0151787939688984e-02 9.7342443598527062e+00
1.9378956561085972e+14 1.8780813754573591e-02 9.7786523081090273e+00
1.9391595011017116e+14 1.7434033467815087e-02 9.8130543776999133e+00
1.9404233460948259e+14 1.6138754042827573e-02 9.8357493741186310e+00
1.9416871910879400e+14 1.4925800455866441e-02 9.8449663543827128e+00
1.9429510360810544e+14 1.3829483527491091e-02 9.8391298403181686e+00
1.9442148810741688e+14 1.2886610854564776e-02 9.8173404955571115e+00
1.9454787260672831e+14 1.2133766227549714e-02 9.7800676842569949e+00
1.9467425710603975e+14 1.1602301380171078e-02 9.7298525930315343e+00
1.9480064160535116e+14 1.1311637173694860e-02 9.6715559179641897e+00
1.9492702610466259e+14 1.1263366045122144e-02 9.6116715564593065e+00
1.9505341060397403e+14 1.1439533736046878e-02 9.5567796069410953e+00
1.9517979510328547e+14 1.1806531900269335e-02 9.5119499542105235e+00
1.9530617960259688e+14 1.2322539754935167e-02 9.4799538962246022e+00
1.9543256410190831e+14 1.2944853210924106e-02 9.4614381176405900e+00
1.9555894860121975e+14 1.3634767720241541e-02 9.4556068161957771e+00
1.9568533310053119e+14 1.4359764139155250e-02 9.4609278471154763e+00
1.9581171759984259e+14 1.5093818528251219e-02 9.4756374619312513e+00
1.9593810209915403e+14 1.5816789032444694e-02 9.4980244904355793e+00
1.9606448659846547e+14 1.6513499287936110e-02 9.5265580999999475e+00
1.9619087109777691e+14 1.7172830137445264e-02 9.5599255239608905e+00
1.9631725559708831e+14 1.7786937392539656e-02 9.5970256814896118e+00
1.9644364009639975e+14 1.8350617772752788e-02 9.6369450492490056e+00
1.9657002459571119e+14 1.8860806928859674e-02 9.6789291495763408e+00
1.9669640909502262e+14 1.9316182847305786e-02 9.7223556568913452e+00
1.9682279359433406e+14 1.9716848642207047e-02 9.7667113433639923e+00
1.9694917809364547e+14 2.0064073124545022e-02 9.8115732985322719e+00
1.9707556259295691e+14 2.0360072439460607e-02 9.8565940952455477e+00
1.9720194709226834e+14 2.0607820393496810e-02 9.9014903043948159e+00
1.9732833159157978e+14 2.0810878623797199e-02 9.9460337107602435e+00
1.9745471609089119e+14 2.0973240569590101e-02 9.9900446194753023e+00
1.9758110059020262e+14 2.1099185448292514e-02 1.0033386707005715e+01
1.9770748508951406e+14 2.1193140257195830e-02 1.0075962938131717e+01
1.9783386958882550e+14 2.1259549317210791e-02 1.0117712134658756e+01
1.9796025408813694e+14 2.1302752100307340e-02 1.0158605843714753e+01
1.9808663858744834e+14 2.1326871047609892e-02 1.0198645217517846e+01
1.9821302308675978e+14 2.1335711769862424e-02 1.0237857686180282e+01
1.9833940758607122e+14 2.1332678388777254e-02 1.0276293282201879e+01
1.9846579208538266e+14 2.1320706791036165e-02 1.0314020558466229e+01
1.9859217658469406e+14 2.1302218209496765e-02 1.0351122126202821e+01
1.9871856108400550e+14 2.1279094836959209e-02 1.0387689918243113e+01
1.9884494558331694e+14 2.1252678177296123e-02 1.0423820347527254e+01
1.9897133008262838e+14 2.1223789650154430e-02 1.0459609573427347e+01
1.9909771458193978e+14 2.1192771720931078e-02 1.0495149103972425e+01
1.9922409908125122e+14 2.1159546669533961e-02 1.0530521949413842e+01
1.9935048358056266e+14 2.1123689167431781e-02 1.0565799505123024e+01
1.9947686807987409e+14 2.1084508196085785e-02 1.0601039286572302e+01
1.9960325257918550e+14 2.1041133556497303e-02 1.0636283575209962e+01
1.9972963707849694e+14 2.0992602285930979e-02 1.0671558970591132e+01
1.9985602157780838e+14 2.0937940667806281e-02 1.0706876788732668e+01
1.9998240607711981e+14 2.0876238121613225e-02 1.0742234204168284e+01
2.0010879057643125e+14 2.0806710007955521e-02 1.0777616005390566e+01
2.0023517507574266e+14 2.0728747199977023e-02 1.0812996819437767e+01
2.0036155957505409e+14 2.0641951091807869e-02 1.0848343658664245e+01
2.0048794407436553e+14 2.0546153491664648e-02 1.0883618647742464e+01
2.0061432857367697e+14 2.0441421555722983e-02 1.0918781798254123e+01
2.0074071307298838e+14 2.0328048548251130e-02 1.0953793709096601e+01
2.0086709757229981e+14 2.0206531763079995e-02 1.0988618081695806e+01
2.0099348207161125e+14 2.0077539415381436e-02 1.1023223949159817e+01
